Team,Season,Final Position,Medium Age,Foreigners,Medium Market Value,Total Market Value
Chelsea FC,2014,1,24.9,28,14.66m,557.25m
Manchester United,2014,4,24.9,26,11.75m,505.40m
Manchester City,2014,2,26.7,27,13.18m,448.25m
Arsenal FC,2014,3,24,29,9.88m,414.75m
Liverpool FC,2014,6,24.3,21,9.28m,324.85m
Tottenham Hotspur,2014,5,24.7,25,7.24m,304.15m
Southampton FC,2014,7,24.5,20,5.68m,210.25m
Everton FC,2014,11,25.3,22,4.57m,182.85m
Newcastle United,2014,15,23.9,27,3.33m,140.00m
West Ham United,2014,12,25.8,21,3.78m,135.90m
Swansea City,2014,8,25.3,26,3.63m,130.75m
Hull City,2014,18,27,24,3.35m,117.10m
Aston Villa,2014,17,25.3,20,3.01m,114.25m
Queens Park Rangers,2014,20,26,25,2.74m,112.25m
Stoke City,2014,9,27.4,23,3.68m,110.50m
Crystal Palace,2014,10,27,26,2.32m,97.25m
West Bromwich Albion,2014,13,26.5,23,2.82m,95.95m
Sunderland AFC,2014,16,25.8,20,2.68m,91.00m
Leicester City,2014,14,26.9,19,1.80m,66.70m
Burnley FC,2014,19,26.5,13,1.75m,52.55m
